Transition,Accuracy Score
"(init_loop_6, None)",1
"(skip_15, None)",1
"(skip_12, None)",1
"(init_loop_16, None)",1
"(8be120e9-154f-48c4-930d-d17ae95536e5, 'Return ER')",1
"(6bbcbeb4-ae2c-4015-b66a-8c599be3770b, 'LacticAcid')",1
"(skip_41, None)",1
"(skip_8, None)",1
"(skip_18, None)",1
"(2cd5163e-6c4a-4038-87f1-ed4edd2038fc, 'IV Antibiotics')",1
"(skip_36, None)",1
"(skip_38, None)",1
"(bcae908f-ac59-42e1-b775-94e7545762e3, 'Admission IC')",1
"(11b8a432-7513-4982-a723-d2adeb888c38, 'Release A')",1
"(991c4f66-5554-42d8-81aa-c6ca2a81c190, 'Release E')",1
"(131bdb79-e308-4154-a6dd-0ba6753d1738, 'Release B')",1
"(skip_9, None)",1
"(cf8b03e1-67ff-41fd-b662-fc07054d8fd8, 'CRP')",1
"(skip_29, None)",1
"(skip_45, None)",1
"(skip_46, None)",1
"(skip_42, None)",1
"(8819beeb-3cfc-4165-b137-a5909315f7e6, 'Release C')",1
"(tauJoin_4, None)",1
"(a8245e37-863e-4071-9b01-d2b8eb55e840, 'Admission NC')",1
"(5b3bf8c3-8a84-447f-acea-3d7549a17007, 'Leucocytes')",1
"(skip_24, None)",1
"(skip_25, None)",1
"(init_loop_26, None)",1
"(tauJoin_31, None)",1
"(bd265eb1-8708-4a4d-8aec-ec49a6c6bdc6, 'ER Triage')",1
"(skip_43, None)",1
"(skip_37, None)",1
"(skip_5, None)",1
"(619b71b2-7e0b-472f-af87-a0d746e15508, 'ER Registration')",1
"(skip_28, None)",1
"(init_loop_39, None)",1
"(c4820c5b-b8b9-40dc-b3be-344ff16c3c65, 'IV Liquid')",1
"(skip_44, None)",1
"(tau_1, None)",1
"(tauJoin_11, None)",1
"(tauJoin_14, None)",1
"(skip_19, None)",1
"(skip_20, None)",1
"(init_loop_21, None)",1
"(skip_32, None)",1
"(skip_33, None)",1
"(skip_23, None)",1
"(2ea74c04-97b7-46d8-a4b4-d14943597643, 'ER Sepsis Triage')",1
"(5eee0c09-3917-465e-b7e4-510f17558de8, 'Release D')",1
